Team,Conf,Div,SP+,HFACW,TAN 25,TAN 26,Coach,SOW,TARP,TEAM_MEAD,TEAM_NAME2,TEAM_ID,Team Total,HC,OC,DC,TAN_Rank
Louisiana,SUN,W,-9.1,2.6,59.5,59,,-2.3,1,LLAF,Louisiana,511,22.4,Michael Desormeaux,Tim Leger,Jim Salgado,73
Michigan State,B1G,,0.4,1.9,73,58.5,-1.5,0.3,-4,MCST,Michigan State,359,21.8,Pat Fitzgerald,Nick Sheridan,Joe Rossi,74
Memphis,AAC,,-1.1,2.4,73,58,,-0.8,-6,MEM,Memphis,509,26.7,Charles Huff,Kevin Decker/David Weeks,Jason Semore,75
Florida Atlantic,AAC,,-7.1,2.1,61.5,57.5,,0.1,5.5,FATL,Florida Atlantic,371,31.3,Zach Kittley,,Brett Dewhurst,76
Tulane,AAC,,-5.5,3.1,74.5,57.5,-1,-1.7,-5,TLN,Tulane,310,26.8,Will Hall,Russ Callaway,Nate Fuqua/Tayler Polk,76
Syracuse,ACC,,-0.7,2.3,57.5,57.5,-1,-0.8,11,SYR,Syracuse,279,21.5,Fran Brown,Jeff Nixon,Vince Kehres,76
West Virginia,B12,,0.8,2.5,63.5,57.5,,-0.6,3,WVA,West Virginia,265,24.5,Rich Rodriguez,Rich Rodriguez,Zac Alley,76
North Carolina,ACC,,3.8,1.8,67.5,57,1.5,1.2,-4,NCAR,North Carolina,282,17.8,Bill Belichick,Bobby Petrino,Steve Belichick,80
Louisiana Tech,CUS,,-8.3,2.5,62,56.5,,-0.8,5.5,LTCH,Louisiana Tech,256,23.7,Sonny Cumbie,Tony Franklin (retired),Luke Olson,81
East Carolina,AAC,,-2,2.5,74.5,56.5,,-0.6,-8,ECAR,East Carolina,368,32.6,Blake Harrell,John David Baker,Josh Aldridge,81
New Mexico,MW,,-0.5,1.8,68.5,56.5,,-1.2,-1.5,NMX,New Mexico,530,23.3,Jason Eck,Luke Schleusner,Spence Nowinsky,81
Rutgers,B1G,,1.8,2.6,71,56.5,,-0.1,-5.5,RUT,Rutgers,519,25.2,Greg Schiano,Kirk Ciarrocca,,81
Air Force,MW,,-2.4,2.4,62,56.5,,0.4,3,AIR,Air Force,507,25.3,Troy Calhoun,Mike Thiessen,Steven Russ,81
UNLV,MW,,2.8,3.2,71,55.5,,-1.6,-5,UNLV,UNLV,550,29.2,Dan Mullen,Corey Dennis,Paul Guenther,86
Toledo,MAC,,-11.5,2.6,74,55,-1,1.2,-8.5,TOL,Toledo,513,28.5,Mike Jacobs,Cris Reisert,Jahmal Brown,87
Marshall,SUN,E,-6.4,2.7,62,54,,2,-1,MRSH,Marshall,517,27.1,Tony Gibson,Rod Smith,Brad Lambert,88
Tulsa,AAC,,-7.6,2.3,60,54,,0.8,2,TLS,Tulsa,502,27.7,Tre Lamb,Brad Robbins,Josh Reardon,88
Florida International,CUS,,-13.7,2.4,60.5,53.5,,-0.9,3.5,FINT,Florida International,367,26.7,Willie Simmons,Nick Coleman,Jovan Dewitt,90
Utah State,P12,,-7.7,2.6,65.5,53,,1.1,-4,UTST,Utah State,1326,28.6,Bronco Mendenhall,Robert Anae,Nick Howell,91
Army,AAC,,-3,3.1,65.5,53,,-1.6,-1.5,ARMY,Army,508,20.2,Jeff Monken,Cody Worley,Nate Woody,91
Western Michigan,MAC,,-7.2,2.8,65,53,,-0.8,-2,WMCH,Western Michigan,512,21.7,Lance Taylor,Walt Bell,Greer Martini-Duane Vaughn,91
Ohio,MAC,,-13.6,3,66.5,52.5,,-0.3,-3,OHU,Ohio,522,26.5,John Hauser,Scott Isphording,Kurt Mattix,94
Temple,AAC,,-8.7,2.6,62.5,52.5,,0.7,-1.5,TEM,Temple,358,21.5,KC Keeler,Tyler Walker,Brian L Smith,94
Liberty,CUS,,-6.4,2.4,58,52,,2.6,0.5,LIB,Liberty,372,25.7,Jamey Chadwell,Newland Isaac,Shawn Quinn,96
Fresno State,P12,,-2.3,3,64,52,,-0.7,-4,FRES,Fresno State,268,22.1,Matt Entz,Josh Davis,Nick Benedetto,96
South Alabama,SUN,W,-13.3,1.9,59.5,51.5,,1.1,0.5,SALA,South Alabama,316,24.7,Major Applewhite,Tim Rattay,Todd Orlando/Jason Washington,98
Stanford,ACC,,-1.9,1.6,64.5,51.5,,-0.8,-3.5,STAN,Stanford,365,19.4,Tavita Pritchard,Terry Heffernan,Kris Richard,98
Oregon State,P12,,-6.3,2.3,58,51,1,2.6,-1,ORST,Oregon State,275,22.3,JaMarcus Shephard,Mitch Dahlen,Mike MacIntyre,100
